sector,ts_code,code,name,industry,dividend_yield,pe_ttm,pb,yoy_2023,yoy_2024,yoy_2025,avg_gm,avg_nm,avg_roe_dt,avg_roe,div_years
银行,600016.SH,600016,民生银行,银行,5.6587,4.9849,0.2541,1.570784541665485,-9.845629902576556,-5.365989596234828,,23.656833333333335,5.189133333333333,5.178133333333332,19
银行,601997.SH,601997,贵阳银行,银行,5.6926,3.6469,0.2919,-8.920139742922542,-7.161806145754318,1.658440150228901,,37.99646666666666,8.2956,8.388233333333334,10
银行,601818.SH,601818,光大银行,银行,6.2092,4.7805,0.3584,-8.96065346932399,2.216120808001569,-6.883154259401382,,30.044300000000003,7.195733333333333,7.1736,16
银行,601169.SH,601169,北京银行,银行,5.6735,5.0507,0.3656,3.489499192245557,0.8078364033718388,-22.24071851651117,,35.06256666666667,7.019933333333333,7.029766666666667,19
银行,001227.SZ,001227,兰州银行,银行,3.9409,6.2905,0.3756,7.502341161759642,1.2860484917994288,-1.217625766554309,,24.3676,5.342199999999999,5.5141,5
银行,600000.SH,600000,浦发银行,银行,4.1126,6.0014,0.4003,-28.275781204197692,23.309356438341236,10.517709967518837,,25.799733333333332,5.7571,5.9317,25
银行,002958.SZ,002958,青农商行,银行,4.3011,4.8523,0.4095,10.819281174516354,11.24073588725773,9.512711960827353,,27.446700000000003,6.693466666666667,7.1677333333333335,3
银行,601916.SH,601916,浙商银行,银行,4.7636,5.8215,0.4114,10.500807754442649,0.9170653907496014,-14.849203213486106,,23.0701,7.642600000000001,7.6473,4
银行,600928.SH,600928,西安银行,银行,2.9155,5.659,0.4248,1.5588735227019155,3.911768038576303,3.5720567164109105,,30.679599999999997,7.7955,7.791066666666668,8
银行,000001.SZ,000001,平安银行,银行,5.7034,4.7095,0.437,2.0630108093857102,-4.191152728446884,-4.212725802102993,,30.3271,9.22,9.199600000000002,14
银行,601166.SH,601166,兴业银行,银行,6.1512,4.732,0.4419,-15.606771944800112,0.11541055033974792,0.34194676510588695,,36.64713333333333,9.237833333333333,9.2958,20
银行,601528.SH,601528,瑞丰银行,银行,4.6053,4.5564,0.4431,13.04154034652299,11.26632123632334,2.296555556943213,,45.12663333333333,9.546933333333333,10.639333333333333,5
银行,601860.SH,601860,紫金银行,银行,4.016,7.2853,0.4459,1.156559555599162,0.29900833022381146,-23.348407538170054,,34.406533333333336,7.8779,7.9137666666666675,8
银行,603323.SH,603323,苏农银行,银行,4.7255,4.343,0.4632,16.036482600047812,11.615380819081526,5.053434612137621,,46.08463333333333,11.066566666666667,11.397766666666667,10
银行,600908.SH,600908,无锡银行,银行,4.6332,4.8875,0.4914,9.962326266822378,2.3469793972973267,2.5308896055428343,,48.076166666666666,9.966433333333335,10.350800000000001,10
银行,601229.SH,601229,上海银行,银行,5.8361,5.224,0.5011,1.1874840525551482,4.502597030293785,2.6889938790036796,,44.415866666666666,9.583933333333333,9.617466666666667,10
银行,601328.SH,601328,交通银行,银行,4.9123,6.0582,0.5017,0.6283302043429663,0.9252868604952119,2.1755390763575746,,36.2926,8.300366666666667,8.363933333333334,19
银行,002839.SZ,002839,张家港行,银行,5.379,5.0161,0.523,6.236275364163628,5.128611051347208,5.3450858882942605,,40.38163333333333,10.166766666666668,10.3391,10
银行,002807.SZ,002807,江阴银行,银行,5.1813,5.0773,0.5237,16.83282210961618,7.877134768826616,0.6210195148103997,,50.78176666666667,11.212133333333332,11.714233333333333,10
银行,601077.SH,601077,渝农商行,银行,5.0938,5.8083,0.5262,6.099717641077763,5.5987169744518495,5.347759314088983,,41.621100000000006,8.9523,9.128966666666669,7
银行,601998.SH,601998,中信银行,银行,5.3287,5.5874,0.5356,7.911050995926122,2.3278023158648677,2.9777181521231917,,33.072766666666666,9.0962,9.175533333333334,11
银行,601825.SH,601825,沪农商行,银行,5.6789,5.9874,0.561,10.639145106902642,1.2040726874528804,0.20075428729908704,,47.831566666666674,10.116266666666666,10.506,5
银行,601963.SH,601963,重庆银行,银行,4.4501,6.0957,0.6069,1.2722230747534284,3.803470616478968,10.49242860967426,,40.11143333333334,8.9293,9.0233,6
银行,002966.SZ,002966,苏州银行,银行,4.918,5.9759,0.6316,17.410335606255956,10.162880489026314,5.526526697689311,,42.90436666666667,10.071499999999999,10.214333333333334,7
银行,601398.SH,601398,工商银行,银行,4.2333,7.0351,0.6626,0.9736936277161474,0.5137461434697921,0.7377078305267272,,44.06303333333333,9.453133333333334,9.494100000000001,20
银行,601988.SH,601988,中国银行,银行,3.9085,7.6058,0.6825,1.9631637494009382,2.5601110804470815,2.1779255889438742,,39.6143,8.697000000000001,8.723966666666668,20
银行,601187.SH,601187,厦门银行,银行,3.5311,6.9651,0.6852,6.29621757448385,-2.5986924659735866,1.5461584846591885,,47.68949999999999,8.780266666666668,8.795133333333334,6
银行,601128.SH,601128,常熟银行,银行,4.0571,5.086,0.6889,19.59998994070483,16.204652625535502,10.649974378864478,,37.09733333333333,13.9248,13.957333333333333,10
银行,601009.SH,601009,南京银行,银行,4.9732,5.8994,0.6992,0.51089092108073,9.05111013440432,8.080403324067213,,40.49216666666667,11.039599999999998,11.224233333333332,19
